รหัสพัสดุ,ชื่อพัสดุ,หน่วย,ราคากลาง,ราคามาตรฐาน,Ref_เหนือ,Ref_อีสาน,Ref_กลาง,Ref_ใต้,Std_เหนือ,Std_อีสาน,Std_กลาง,Std_ใต้
1010060019,"CONDUIT ST. GUARD,POLE 22 M.",EA,,11570,,,,,,,,
1010060021,"SUP. STRUCTURE,1 CIRCUIT DOUBLE COND.",EA,,42910,,,,,,,,
1010060022,ST. FRAME STRUCTURE WITH CHANNEL ST.,EA,,20000,,,,,,,,
1010060023,"SUP. STRUCTURE,1 CIRCUIT SINGLE COND.",EA,,27660,,,,,,,,
1010060024,SUPPORT.JOINT BOX.FOR OPGW.DIA. 14 MM.,EA,441,744,,,,,,,,
1010060025,BRACKET.FOR OPGW.DIA.14 MM.COIL,EA,772,1617,,,,,,,,
1010060026,JOINT BOX. 2 WAY.FOR OPGW,EA,27650,27650,,,,,,,,
1010060027,JOINT BOX.3 WAY.OPGW AND APPROACH CABLE,EA,28130,28130,,,,,,,,
1010100000,"WIRE,ST. SOLID DIA. 4.0 MM.TIS.71",KG,61.8,61.8,,,,,,,,
1010100002,"ST. WIRE, STRANDED 25 SQ.MM.TIS.404",M,16.8,16.8,,,,,,,,
1010100003,"ST. WIRE, STRANDED 35 SQ.MM.TIS.404",M,22.7,22.7,,,,,,,,
1010100004,"ST. WIRE, STRANDED 50/7 SQ.MM.TIS.404",M,33.6,33.6,,,,,,,,
1010100006,"ST. WIRE, STRANDED 95 SQ.MM.TIS.404",M,62.1,62.1,,,,,,,,
1010100100,"OPGW.24C.DIA. 14 mm.,SC 100 kA2.sec",M,126,126,,,,,,,,
1010100102,"OPGW.24C.DIA.14.MM.,SC.70.kA2.SEC",M,126,126,,,,,,,,
1010110000,"BOLT,MACHINE M.8X25 MM.",EA,,23.4,,,,,,,,
1010110100,"BOLT,MACHINE M.12X35 MM.",EA,14.9,14.9,,,,,,,,
1010110101,"BOLT,MACHINE M.12X50 MM.",EA,17.3,17.3,,,,,,,,
1010110103,"BOLT,MACHINE,M.12X50 MM., NUT,R.W.&S.W.",EA,,22,,,,,,,,
1010110200,"BOLT,MACHINE M.16X130 MM.",EA,21.6,21.6,,,,,,,,
1010110201,"BOLT,MACHINE M.16X170 MM.",EA,25.5,25.5,,,,,,,,
1010110202,"BOLT,MACHINE M.16X200 MM.",EA,27.8,27.8,,,,,,,,
1010110203,"BOLT,MACHINE M.16X250 MM.",EA,34.7,34.7,,,,,,,,
1010110204,"BOLT,MACHINE M.16X300 MM.",EA,41.7,41.7,,,,,,,,
1010110205,"BOLT,MACHINE M.16X350 MM.",EA,46.3,46.3,,,,,,,,
1010110206,"BOLT,MACHINE M.16X400 MM.",EA,52.5,52.5,,,,,,,,
1010110207,"BOLT,MACHINE M.16X450 MM.",EA,58.6,58.6,,,,,,,,
1010110208,"BOLT,MACHINE M.16X500 MM.",EA,61.7,61.7,,,,,,,,
1010110209,BOLT MACHINE M.16X600 MM.,EA,65.6,65.6,,,,,,,,
1010110300,"BOLT,MACHINE M. 20X350 MM.",EA,75.6,75.6,,,,,,,,
1010110301,"BOLT,MACHINE M.20X400 MM.",EA,88,88,,,,,,,,
1010110302,"BOLT,MACHINE M.20X450 MM.",EA,100,100,,,,,,,,
1010110400,"BOLT,MACHINE,HEXAGON,M.16X75 MM.",EA,24.7,24.7,,,,,,,,
1010110401,"BOLT,MACHINE,HEXAGON,M.16X550 MM.",EA,81,81,,,,,,,,
1010110402,"BOLT,MACHINE,HEXAGON,M.16X600 MM.",EA,87.2,87.2,,,,,,,,
1010110403,"BOLT, MACHINE, HEXAGON, M.16X650 MM.",EA,,26.8,,,,,,,,
1010110404,"BOLT,MACHINE,HEXAGON,M. 16X50 MM.",EA,23.1,23.1,,,,,,,,
1010110500,"BOLT, MACHINE, HEXAGON, M24X250 MM.",EA,,222,,,,,,,,
1010120000,"BOLT,DOUBLE ARMING,M.16X400 MM.",EA,56.9,56.9,,,,,,,,
1010120001,"BOLT,DOUBLE ARMING,M.16X450 MM.",EA,64,64,,,,,,,,
1010120002,"BOLT,DOUBLE ARMING,M.16X500 MM.",EA,77.2,77.2,,,,,,,,
1010120003,"BOLT,DOUBLE ARMING,M.16X550 MM.",EA,,64.8,,,,,,,,
1010120004,"BOLT,DOUBLE ARMING,M.16X600 MM.",EA,81,81,,,,,,,,
1010120005,"BOLT, DOUBLL ARMING M 16X650 MM.",EA,91,91,,,,,,,,
1010120006,"BOLT, DOUBLE ARMING, M 16x250 MM.",EA,,35.2,,,,,,,,
1010130000,"BOLT,DOUBLE ARMING,ROUND EYE M.16X400MM.",EA,74.9,74.9,,,,,,,,
1010130001,"BOLT,DOUBLE ARMING,ROUND EYE M.16X450MM.",EA,76.7,76.7,,,,,,,,
1010130002,"BOLT,DOUBLE ARMING,ROUND EYE M.16X500MM.",EA,83.6,83.6,,,,,,,,
1010130003,"BOLT,DOUBLE ARMING,ROUND EYE M.16X600MM.",EA,103,103,,,,,,,,
1010130004,"BOLT,DOUBLE ARMING,ROUND EYE M.16X550MM.",EA,,90.2,,,,,,,,
1010130005,"BOLT,DOUBLE ARMING ROUND,EYE M.16X650MM.",EA,113,113,,,,,,,,
1010140001,"BOLT,ROUND EYE M.16X200 MM.",EA,52.3,52.3,,,,,,,,
1010140002,"BOLT,ROUND EYE M.16X250 MM.",EA,59.6,59.6,,,,,,,,
1010140003,"BOLT,ROUND EYE M.16X300 MM.",EA,70,70,,,,,,,,
1010150000,"BOLT,OVAL EYE M.16X150 MM.",EA,68.9,68.9,,,,,,,,
1010150001,"BOLT,OVAL EYE M.16X200 MM.",EA,78.4,78.4,,,,,,,,
1010150002,"BOLT,OVAL EYE M.16X350 MM.",EA,110,110,,,,,,,,
1010150050,"BOLT,OVAL EYE,FULL THREAD M.16X250 MM.",EA,,26.8,,,,,,,,
1010150051,"BOLT,OVAL EYE,FULL THREAD M.16X300 MM.",EA,,30.1,,,,,,,,
1010150052,"BOLT,OVAL EYE,FULL THREAD M.16X350 MM.",EA,,33.1,,,,,,,,
1010150100,"BOLT,OVAL EYE M.20X350 MM.",EA,190,190,,,,,,,,
1010150101,"BOLT,OVAL EYE M.20X450 MM.",EA,224,224,,,,,,,,
1010160000,"BOLT,STUB M.24X600 MM.",EA,200,200,,,,,,,,
1010160001,"BOLT,STUB M.24X800 MM.",EA,241,241,,,,,,,,
1010160002,"BOLT,STUB M.24X1,000 MM.",EA,284,284,,,,,,,,
1010160003,"BOLT,STUB M.24X1,250 MM.",EA,340,340,,,,,,,,
1010160004,"BOLT,STUB M 24 X 1,600 MM.",EA,448,448,,,,,,,,
1010180001,"NUT,EYE M.16 DIN 582",EA,42.2,42.2,,,,,,,,
1010180002,"NUT,EYE M.20",EA,169,169,,,,,,,,
1010180003,"NUT,EYE,THIMBLE M.16",EA,,242,,,,,,,,
1010180100,"WASHER,PLAIN,SQUARE, 52X52X4.5 MM.",EA,4.95,4.95,,,,,,,,
1010180101,"WASHER,PLAIN,SQUARE, 62X62X6 MM.",EA,9.9,9.9,,,,,,,,
1010180102,"WASHER,PLAIN,SQUARE, 72X72X6 MM.",EA,,15,,,,,,,,
1010180201,"WASHER,SQUARE,CURVED 60X60X5 MM.",EA,7.25,7.25,,,,,,,,
1010180300,"WASHER,LOCK,SPRING,SIZE 12 MM.,TIS.259",EA,,2.11,,,,,,,,
